Urdu,Roman-Urdu
اکابانی, akbani
اویس, awais
بہجت, behjat
مصطفی, mustafa
عزیر, uzair
سمیع, Sami
عدنان, Adnan
عبدل, Abdul
باسط, Basit
زوہیب, zohaib
 خبر , khabar
 آباد , aabaad
 آبرو , aabroo
 آپ , aap
 آداب , aadaab
 آدمی , aadmi
 آدمیت , aadmiyyat
 آرا , aaraa
 آرام , aaraam
 آرزو , aarzoo
 از , aaz
 اس , aas
 آسان , aasaan
 آسمان , aasmaan
 آگ , aag
 آنسو , aan.soo
 آواز , aawaaz
 ابتداءً , ibtidaa'
 ابتر , abtar
 آباد , abad
 آبرو , abroo
 اتحاد , ittiHaad
 اتفاق , ittifaaq
 اٹک , aTak
 اثر , asar
 اجازت , ijaazat
 اجنبی , ajnabee
 احتیاط , iHtiyaat
 احساس , iHsaas
 احسان , iHsaan
 اخبار , akhbaar
 اختیار , ikhtiyaar
 ادا , adaa
 ادا , adaa
 ادراک , idraak
 ادب , adib
 عرض , arz
 اساس , asaas
 اسباب , asbaab
 استاد , ustaad
 اشتہار , ishtihaar
 اصل , asl
 اصلی , asli
 اضطراب , iztiraab
 افراط , ifraat
 افسوس , afsos
 اقبال , iqbaal
 اقرار , iqraar
 اکبر , akbar
 اکثر , aksar
 اکثر , aksar
 اگر , agar
 ال , al
 امانت , amaanat
 امتیاز , imtiyaaz
 امید , ummid
 انتقام , intiqaam
 انجام , anjaam
 انجمن , anjuman
 انسان , insaan
 انکار , inkaar
 اوقات , auqaat
 اوقات , auqaat
 باب , baab
 بات , baat
 بعد , baad
 بادل , baadal
 بارش , baarish
 باریک , baareek
 باز , baaz
 باز , baaz
 باز , baaz
 بازار , baazaar
 بازو , baazoo
 بازی , baazi
 باغ , baagh
 باقی , baaqee
 باقی , baaqee
 بام , baam
 بانکا , baan.kaa
 بحث , baHs
 بخار , bukhaar
 بخت , bakht
 بعد , bad
 بدل , badal
 برابر , baraabar
 برداشت , bardaasht
 برسات , barsaat
 برکت , barkat
 بزرگ , buzurg
 بس , bas
 بستر , bistar
 بسیرا , baseraa
 بشر , bashar
 بغاوت , baghaawat
 بغل , baghal
 بنیاد , bunyaad
 بعد , bood
 بہادر , bahaadur
 بے ادب , be adab
 بےچین , be chain
 بے خبر , be khabar
 بے داغ , be daagh
 بے درد , be dard
 بے رحم , be rahm
 بے ریا , be riyaa
 بے زبان , be zabaan
 بے شرم , be sharm
 بے صبر , be sabr
 بے فکر , be fikr
 بے کار , be kaar
 بے وقوف , be waqoof
 بیان , bayaan
 بیزار , bezaar
 بیمار , bimaar
 پار , paar
 پاس , paas
 پاسبان , paas baan
 پاک , pak
 پاگل , paagal
 پانی , paani
 پرورش , parwarish
 پریشان , pareshaan
 پسند , pasand
 پشیمان , pashemaan
 پل , pal
 پلک , palak
 پیغام , paighaam
 پیمان , paimaan
 تاج , taj
 تاریخ , taarikh
 تاک , taak
 تبدیل , tabdeel
 تخت , takht
 ترس , tars
 ترس , tars
 ترکیب , tarkeeb
 تصور , tasawwur
 تقدیر , taqdeer
 تکلیف , takleef
 تمام , tamaam
 تیر , teer
 تیز , tez
 ٹپکنا , Tapaknaa
 ٹکر , Takkar
 ٹوٹ , TooT
 ثابت , saabit
 ثابت , saabit
 ثقافت , siqaafat
 جادو , jaadu
 جاگیر , jaagir
 جاہل , jaahil
 جدا , judaa
 جدائی , judaaee
 جستجو , justjoo
 جسم , jism
 جشن , jashn
 جال , ja'l
 جگر , jigar
 جنت , jannat
 جنگ , jang
 جواب , jawaab
 جوش , josh
 جہاز , jahaaz
 چادر , chaadar
 چاقو , chaaqoo
 چال , chaal
 چراغ , charaagh
 چمک , chamak
 چند , chand
 چیز , cheez
 چین , chain
 حاضر , Haazir
 حاکم , Haakim
 حال , Haal
 حالت , Haalat
 حرام , Haraam
 حساب , Hisaab
 حسین , Haseen
 حضرت , Hazrat
 حفاظت , Hifaazat
 حقیقت , Haqeeqat
 حکم , Hukm
 حکمت , Hikmat
 حیثیت , Haiseeyat
 خاص , khaas
 خاک , khaak
 خالص , khaalis
 خام , khaam
 خاموش , khaamosh
 خاندان , khaandaan
 خبر , khabar
 خدا , khuda
 خراب , kharaab
 خشک , khushk
 خنجر , khanjar
 خواب , khwaab
 خود , khood
 خوش , khoosh
 خون , khoon
 خیال , khayaal
 داد , daad
 داستان , daastaan
 داغ , daagh
 دامن , daaman
 دراز , daraaz
 درد , dard
 درس , dars
 درست , durust
 درشت , durusht
 درمیان , darmiyan
 دریا , darya
 دستور , dastoor
 دشمن , dushman
 دشوار , dushwaar
 دل , dil
 دلبر , dilbar
 دلچسپ , dil chasp
 دلسوز , dil soz
 دلفریب , dil fareb
 دلکش , dil kash
 دماغ , dimaagh
 دنیا , dunyaa
 دور , door
 دور , daur
 دوست , dost
 دولت , daulat
 دیوار , deewaar
 ذاتی , zaati
 ذکر , zikr
 راز , raaz
 سچا , raast
 رحم , rahm
 رخسار , rukhsaar
 رسم , rasm
 رفتار , raftaar
 رفیق , rafeeq
 رقیب , raqeeb
 رنگ , ran.g
 ریشم , resham
 زبان , zabaan
 زحمت , zaHmat
 زخم , zakhm
 زکام , zukaam
 زمین , zameen
 زنجیر , zanjeer
 زندگی , zindagi
 ساحل , saaHil
 ساز , saaz
 ساقی , saaqee
 سال , saal
 سامان , saamaan
 سانس , saan.s
 سحر , saHar
 سخت , sakht
 سر , sar
 سزا , sazaa
 سست , sust
 سفارش , sifaarish
 سفر , safar
 سفید , safed
 سوال , sawaal
 سونا , soona
 شاخ , shaakh
 شاگرد , shaagird
 شام , shaam
 شامل , shaamil
 شان , shaan
 شہتیر , shaahtir
 شبنم , shabnam
 شراب , sharaab
 شرافت , sharaafat
 شرط , shart
 شرم , sharm
 شروع , shuroo'
 شیر , shi'r
 شکار , shikaar
 شکر , shukr
 شکل , shakl
 شمشیر , shamsher
 شوخ , shokh
 شوق , shauq
 شہر , shahr
 شہید , shaheed
 شیخی , shekhi
 شیر , sher
 صاف , saaf
 صحبت , suHbat
 صدر , sadr
 ضابط , zaabit
 ضابط , zaabit
 حواله , zaamin
 ضرب , zarb
 ضرور , zaroor
 ضرور , zaroor
 ضرورت , zaroorat
 ضمانت , zamaanat
 ضمیر , zameer
 طاقت , taaqat
 طرف , taraf
 تان , ta'n
 طلب , talab
 طوفان , toofaan
 ظالم , zaalim
 ظلم , zulm
 عاجز , 'aajiz
 عادت , 'aadat
 عادل , 'aadil
 عاقبت , 'aaqibat
 عالم , 'aalam
 عجب , 'ajab
 علم , 'ilm
 امر , 'umr
 عوام , 'awaam
 عورت , 'aurat
 عیاش , 'aiyaash
 غبار , ghubaar
 غدّار , ghaddaar
 غرض , gharaz
 غرور , ghuroor
 غریب , gharib
 غزل , ghazal
 غفلت , ghaflat
 غلط , ghalat
 غلیظ , ghaleez
 غیر , ghair
 غیر , ghair
 غیر , ghair
 غیر , ghair
 فاضل , faazil
 فرض , farz
 فرق , farq
 فرمان , farmaan
 فریاد , faryaad
 فریب , fareb
 فضا , faza'
 فطرت , fitrat
 فکر , fikr
 فوج , fauj
 فہم , fahm
 قابل , qaabil
 قاتل , qaatil
 قانون , qaanoon
 قبر , qabr
 قبول , qubool
 قتل , qatl
 قدم , qadam
 قربان , qurbaan
 قریب , qareeb
 داغنے کا لوها , qasam
 داغنے کا لوها , qism
 قسمت , qismat
 قوم , qaum
 قید , qaid
 قیمت , qeemat
 مہم , kaar
